,second,Volt,Volt.1
270,-0.073,-0.9648241103,0.0
271,-0.07289999999999999,-0.9648241103,0.0
272,-0.07279999999999999,-0.944723608,0.0040201005
273,-0.0727,-0.9648241103,0.0040201005
274,-0.0726,-0.9648241103,0.0040201005
275,-0.0725,-0.944723608,0.0
276,-0.07239999999999999,-0.944723608,0.0040201005
277,-0.07229999999999999,-0.9648241103,0.0040201005
278,-0.0722,-0.944723608,0.0040201005
279,-0.0721,-0.9648241103,0.0040201005
280,-0.07200000000000001,-0.9648241103,0.0040201005
281,-0.0719,-0.944723608,0.0080402009
282,-0.0718,-0.944723608,0.0040201005
283,-0.0717,-0.944723608,0.0080402009
284,-0.07160000000000001,-0.944723608,0.0040201005
285,-0.07150000000000001,-0.944723608,0.0080402009
286,-0.0714,-0.944723608,0.0080402009
287,-0.0713,-0.9246231057,0.0080402009
288,-0.0712,-0.9246231057,0.0080402009
289,-0.0711,-0.9246231057,0.0120603014
290,-0.07100000000000001,-0.944723608,0.0080402009
291,-0.0709,-0.944723608,0.0080402009
292,-0.0708,-0.9246231057,0.0080402009
293,-0.0707,-0.944723608,0.0080402009
294,-0.0706,-0.9246231057,0.0080402009
295,-0.07050000000000001,-0.944723608,0.0120603014
296,-0.0704,-0.944723608,0.0120603014
297,-0.0703,-0.944723608,0.0160804018
298,-0.0702,-0.9246231057,0.0120603014
299,-0.0701,-0.9246231057,0.0160804018
300,-0.06999999999999999,-0.9246231057,0.0160804018
301,-0.0699,-0.9045226034,0.0120603014
302,-0.0698,-0.9045226034,0.0120603014
303,-0.0697,-0.9246231057,0.0160804018
304,-0.0696,-0.9045226034,0.0160804018
305,-0.06949999999999999,-0.9246231057,0.0160804018
306,-0.0694,-0.9045226034,0.0160804018
307,-0.0693,-0.9246231057,0.0160804018
308,-0.0692,-0.9045226034,0.0120603014
309,-0.0691,-0.9045226034,0.0160804018
310,-0.06899999999999999,-0.8844221011,0.0160804018
311,-0.06889999999999999,-0.9045226034,0.0160804018
312,-0.0688,-0.9045226034,0.0201005023
313,-0.0687,-0.9045226034,0.0160804018
314,-0.0686,-0.8844221011,0.0201005023
315,-0.06849999999999999,-0.9045226034,0.0201005023
316,-0.0684,-0.8844221011,0.0201005023
317,-0.06830000000000001,-0.8844221011,0.0201005023
318,-0.06820000000000001,-0.8844221011,0.0241206028
319,-0.06810000000000001,-0.8844221011,0.0201005023
320,-0.068,-0.8643215988,0.0201005023
321,-0.0679,-0.8844221011,0.0201005023
322,-0.0678,-0.8643215988,0.0241206028
323,-0.06770000000000001,-0.8643215988,0.0241206028
324,-0.06760000000000001,-0.8643215988,0.0241206028
325,-0.0675,-0.8643215988,0.0241206028
326,-0.0674,-0.8643215988,0.0241206028
327,-0.0673,-0.8643215988,0.0241206028
328,-0.0672,-0.8643215988,0.0241206028
329,-0.0671,-0.8442210965,0.0241206028
330,-0.067,-0.8442210965,0.0241206028
331,-0.0669,-0.8442210965,0.0241206028
332,-0.0668,-0.8442210965,0.0281407032
333,-0.0667,-0.8442210965,0.0281407032
334,-0.0666,-0.8241205942,0.0281407032
335,-0.0665,-0.8241205942,0.0281407032
336,-0.0664,-0.8241205942,0.0281407032
337,-0.0663,-0.8241205942,0.0321608037
338,-0.0662,-0.8241205942,0.0321608037
339,-0.06609999999999999,-0.8241205942,0.0321608037
340,-0.066,-0.8241205942,0.0281407032
341,-0.0659,-0.8241205942,0.0281407032
342,-0.0658,-0.8040200919,0.0281407032
343,-0.0657,-0.8241205942,0.0321608037
344,-0.06559999999999999,-0.8040200919,0.0321608037
345,-0.0655,-0.8040200919,0.0321608037
346,-0.0654,-0.7839195896,0.0321608037
347,-0.0653,-0.8040200919,0.0321608037
348,-0.0652,-0.7839195896,0.0321608037
349,-0.06509999999999999,-0.7839195896,0.0321608037
350,-0.06499999999999999,-0.7839195896,0.0361809041
351,-0.0649,-0.7839195896,0.0321608037
352,-0.0648,-0.7839195896,0.0361809041
353,-0.06470000000000001,-0.7839195896,0.0361809041
354,-0.0646,-0.7638190873,0.0321608037
355,-0.0645,-0.7638190873,0.0361809041
356,-0.0644,-0.743718585,0.0361809041
357,-0.06430000000000001,-0.743718585,0.0361809041
